survey_year,unitid,institution_me,opeid.x,campus_id.x,in_baltimore_area,in_baltimore_city,public,hbcu,category,campus_me,murder_non_negligent_manslaughter,negligent_manslaughter,rape,fondling,incest,statutory_rape,robbery,aggravated_assault,burglary,motor_vehicle_theft,arson,total_crime,violent_crime,property_crime,sexual_crime,sex_offenses_forcible,sex_offenses_non_forcible
2014,162007,Bowie State University,206200,1,n,n,y,y,public property,Main Campus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,162007,Bowie State University,206200,1,n,n,y,y,on campus,Main Campus,0,0,2,0,0,0,1,4,26,1,0,34,7,27,2,2,0
2014,162584,Frostburg State University,207200,1,n,n,y,n,non-campus,Main Campus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,162584,Frostburg State University,207200,1,n,n,y,n,public property,Main Campus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,162584,Frostburg State University,207200,1,n,n,y,n,on campus,Main Campus,0,0,2,4,0,0,0,0,9,0,0,15,2,9,6,6,0
2014,162760,Hood College,207600,1,n,n,n,n,non-campus,Hood College,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0
2014,162760,Hood College,207600,1,n,n,n,n,public property,Hood College,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,0,0
2014,162760,Hood College,207600,1,n,n,n,n,on campus,Hood College,0,0,3,0,0,0,0,1,1,1,0,6,4,2,3,3,0
2014,163462,Mount St. Mary's University,208600,1,n,n,n,n,public property,Main Campus,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,0
2014,163462,Mount St. Mary's University,208600,2,n,n,n,n,public property,Frederick Campus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,163462,Mount St. Mary's University,208600,1,n,n,n,n,on campus,Main Campus,0,0,8,2,0,0,0,0,16,1,0,27,8,17,10,10,0
2014,163462,Mount St. Mary's University,208600,2,n,n,n,n,on campus,Frederick Campus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,163851,Salisbury University,209100,1,n,n,y,n,non-campus,Main Campus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,163851,Salisbury University,209100,1,n,n,y,n,public property,Main Campus,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
2014,163851,Salisbury University,209100,1,n,n,y,n,on campus,Main Campus,0,0,3,1,0,0,0,2,3,1,0,10,5,4,4,4,0
2014,163912,St. Mary's College of Maryland,209500,1,n,n,n,n,public property,St. Mary's College of Maryland,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
2014,163912,St. Mary's College of Maryland,209500,1,n,n,n,n,on campus,St. Mary's College of Maryland,0,0,7,4,0,0,0,1,18,2,0,32,8,20,11,11,0
2014,163338,University of Maryland Eastern Shore,210600,1,n,n,y,y,non-campus,Main Campus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,163338,University of Maryland Eastern Shore,210600,1,n,n,y,y,public property,Main Campus,0,0,0,0,0,0,2,2,0,0,0,4,4,0,0,0,0
2014,163338,University of Maryland Eastern Shore,210600,1,n,n,y,y,on campus,Main Campus,0,0,2,4,0,0,0,2,15,0,0,23,4,15,6,6,0
2014,163286,University of Maryland-College Park,210300,1,n,n,y,n,non-campus,Main Campus,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0
